detection_id,species,source_image,pixel_x,pixel_y,longitude,latitude,within_boundary_buffer,georeference_method,georeference_rmse_deg,control_point_count,notes
rhino_digitized_101,rhino,rhino_pages-14.png,362.5,296.5,14.916232,-19.151129,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_102,rhino,rhino_pages-14.png,899.0,296.0,16.795454,-19.126263,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_103,rhino,rhino_pages-14.png,175.7,297.7,14.458896,-19.234902,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_104,rhino,rhino_pages-14.png,675.5,297.5,15.908407,-19.103474,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_105,rhino,rhino_pages-14.png,128.5,301.0,14.353428,-19.273569,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_106,rhino,rhino_pages-14.png,438.0,301.5,15.122397,-19.146028,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_107,rhino,rhino_pages-14.png,685.77,305.54,15.938846,-19.126326,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_108,rhino,rhino_pages-14.png,704.7,307.7,16.007304,-19.132437,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_109,rhino,rhino_pages-14.png,646.0,308.0,15.792373,-19.134321,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_110,rhino,rhino_pages-14.png,673.0,308.0,15.889858,-19.133385,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_111,rhino,rhino_pages-14.png,701.5,312.0,15.991775,-19.144203,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_112,rhino,rhino_pages-14.png,718.0,312.0,16.053929,-19.144383,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_113,rhino,rhino_pages-14.png,230.73,314.0,14.553077,-19.266783,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_114,rhino,rhino_pages-14.png,905.3,313.7,16.815056,-19.170475,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
rhino_digitized_115,rhino,rhino_pages-14.png,352.5,316.0,14.859071,-19.220835,True,quadratic_gcp_warp_from_public_map_features,0.174143,13,approximate map-digitized detections from a public figure; not survey-grade coordinates
