scenario_id,alpha,coverage_target,achieved_protection,response_objective,budget_used,tourism_penalty_used,selected_site_count,selected_people,selected_cars,selected_drones,selected_cameras,locked_down_waterholes,selected_interventions,mean_response_time_min,p90_response_time_min,covered_cell_share,mean_fire_delay_penalty,selected_high_risk_sites,status,parameter_name,parameter_label,parameter_category,multiplier,coverage_max,recommended_alpha,achieved_protection_pct_change,response_objective_pct_change,covered_cell_share_pct_change,mean_response_time_min_pct_change
etosha_placeholder_baseline,0.95,145.21547916952565,146.38184700181486,11225.224271898252,12000.0,0.0,89,0,86,3,0,0,0,50.57911742767495,128.592475819992,0.2830188679245283,30.858791149744434,48,ok,tau_fire_min,fire threshold tau,fire,0.5,152.85839912581648,0.95,-0.16611012330676628,29.960121346764648,-3.3898305084745775,0.0
etosha_placeholder_baseline,0.95,145.21547916952565,145.54813526878667,9734.269944933834,12000.0,0.0,89,0,86,3,0,0,0,50.57911742767495,128.592475819992,0.28599801390268126,26.738388557057934,48,ok,tau_fire_min,fire threshold tau,fire,0.75,152.85839912581648,0.95,-0.7347098988172639,12.698586025830444,-2.372881355932193,0.0
etosha_placeholder_baseline,0.95,145.21547916952565,146.6254066455929,8637.437512040076,12000.0,0.0,89,0,86,3,0,0,0,50.57911742767495,128.592475819992,0.2929493545183714,23.422666315277397,48,ok,tau_fire_min,fire threshold tau,fire,1.0,152.85839912581648,0.95,0.0,0.0,0.0,0.0
etosha_placeholder_baseline,0.95,145.21547916952565,145.2358829973108,7297.954322631614,12000.0,0.0,88,0,88,3,0,0,0,51.439817512117685,131.3630489025351,0.2899702085402185,18.845509974518176,49,ok,tau_fire_min,fire threshold tau,fire,1.3333333333333333,152.85839912581648,0.95,-0.9476690841449559,-15.50787704734538,-1.0169491525423657,1.701690595280714
etosha_placeholder_baseline,0.95,145.21547916952565,145.4161402578754,5777.81685825001,12000.0,0.0,89,0,86,3,0,0,0,50.757866186364126,128.592475819992,0.282025819265144,10.446935254547643,48,ok,tau_fire_min,fire threshold tau,fire,2.0,152.85839912581648,0.95,-0.8247318219825296,-33.107280368789056,-3.728813559322039,0.35340426598936625
etosha_placeholder_baseline,0.95,145.21547916952565,146.09536507633484,5036.683861705538,12000.0,0.0,88,0,85,3,0,0,0,50.79575304204071,130.20227539259716,0.2711022840119166,1.488787154658181,49,ok,beta_fire,fire penalty slope beta,fire,0.5,152.85839912581648,0.95,-0.3614936738345894,-41.68775340273432,-7.45762711864406,0.42831038852256037
etosha_placeholder_baseline,0.95,145.21547916952565,145.2391991809959,5795.466613814495,12000.0,0.0,88,0,86,3,0,0,0,49.63633178092105,126.07803083272007,0.28500496524329694,5.6598945401287235,49,ok,beta_fire,fire penalty slope beta,fire,0.75,152.85839912581648,0.95,-0.9454074135648153,-32.902940186415734,-2.7118644067796547,-1.863982004237283
etosha_placeholder_baseline,0.95,145.21547916952565,146.6254066455929,8637.437512040076,12000.0,0.0,89,0,86,3,0,0,0,50.57911742767495,128.592475819992,0.2929493545183714,23.422666315277397,48,ok,beta_fire,fire penalty slope beta,fire,1.0,152.85839912581648,0.95,0.0,0.0,0.0,0.0
etosha_placeholder_baseline,0.95,145.21547916952565,145.27417544723548,28797.878161969504,12000.0,0.0,88,0,85,3,0,0,0,51.38023459255463,131.3630489025351,0.28500496524329694,147.1024882315677,49,ok,beta_fire,fire penalty slope beta,fire,1.3333333333333333,152.85839912581648,0.95,-0.9215532486968477,233.40765848467174,-2.7118644067796547,1.5838891732842633
etosha_placeholder_baseline,0.95,145.21547916952565,145.2209801478964,887533.4249071109,12000.0,0.0,89,0,87,3,0,0,0,51.36088310627393,131.3630489025351,0.28798411122144985,5386.786977281695,48,ok,beta_fire,fire penalty slope beta,fire,2.0,152.85839912581648,0.95,-0.9578329771259447,10175.425132395365,-1.6949152542372887,1.54562933945389
etosha_placeholder_baseline,0.95,145.21547916952565,145.2187330471762,6640.034231315372,12000.0,0.0,89,0,86,3,0,0,0,50.57911742767495,128.592475819992,0.26911618669314796,23.422666315277397,48,ok,lambda_fire,fire penalty weight lambda,fire,0.5,152.85839912581648,0.95,-0.959365522386428,-23.12495202356535,-8.135593220338983,0.0
etosha_placeholder_baseline,0.95,145.21547916952565,145.21577557269126,7638.735871677727,12000.0,0.0,89,0,86,3,0,0,0,50.57911742767497,128.592475819992,0.2711022840119166,23.422666315277407,48,ok,lambda_fire,fire penalty weight lambda,fire,0.75,152.85839912581648,0.95,-0.9613825496892598,-11.562476011782643,-7.45762711864406,4.2144432637212356e-14
etosha_placeholder_baseline,0.95,145.21547916952565,146.6254066455929,8637.437512040076,12000.0,0.0,89,0,86,3,0,0,0,50.57911742767495,128.592475819992,0.2929493545183714,23.422666315277397,48,ok,lambda_fire,fire penalty weight lambda,fire,1.0,152.85839912581648,0.95,0.0,0.0,0.0,0.0
etosha_placeholder_baseline,0.95,145.21547916952565,145.32260900769276,9969.039699189878,12000.0,0.0,89,0,86,3,0,0,0,50.57911742767495,128.592475819992,0.28897715988083417,23.422666315277397,48,ok,lambda_fire,fire penalty weight lambda,fire,1.3333333333333333,152.85839912581648,0.95,-0.8885210740108114,15.416634682376884,-1.3559322033898273,0.0
etosha_placeholder_baseline,0.95,145.21547916952565,145.2358829973108,12631.701765703423,12000.0,0.0,88,0,88,3,0,0,0,51.38023459255463,131.3630489025351,0.2899702085402185,24.224138527261175,49,ok,lambda_fire,fire penalty weight lambda,fire,2.0,152.85839912581648,0.95,-0.9476690841449559,46.2436254745181,-1.0169491525423657,1.5838891732842633
etosha_placeholder_baseline,0.95,73.85490397938923,73.86316593713228,8637.437512040076,12000.0,0.0,89,0,86,3,0,0,0,50.57911742767495,128.592475819992,0.28798411122144985,23.422666315277397,48,ok,protection_leverage_scale,protection leverage scale,protection,0.5,77.74200418883078,0.95,-49.62457896831867,0.0,-1.6949152542372887,0.0
etosha_placeholder_baseline,0.95,108.73508222118146,109.71945675576957,8637.437512040076,12000.0,0.0,89,0,86,3,0,0,0,50.57911742767495,128.592475819992,0.28897715988083417,23.422666315277397,48,ok,protection_leverage_scale,protection leverage scale,protection,0.75,114.45798128545417,0.95,-25.170228498686047,0.0,-1.3559322033898273,0.0
etosha_placeholder_baseline,0.95,145.21547916952565,146.6254066455929,8637.437512040076,12000.0,0.0,89,0,86,3,0,0,0,50.57911742767495,128.592475819992,0.2929493545183714,23.422666315277397,48,ok,protection_leverage_scale,protection leverage scale,protection,1.0,152.85839912581648,0.95,0.0,0.0,0.0,0.0
etosha_placeholder_baseline,0.95,192.30489435574935,192.39728286759143,8637.437512040076,12000.0,0.0,89,0,86,3,0,0,0,50.57911742767495,128.592475819992,0.2899702085402185,23.422666315277397,48,ok,protection_leverage_scale,protection leverage scale,protection,1.3333333333333333,202.42620458499934,0.95,31.21687930430322,0.0,-1.0169491525423657,0.0
etosha_placeholder_baseline,0.95,287.01687384014934,287.02875924651255,8927.362210497457,12000.0,0.0,89,0,86,3,0,0,0,49.51300408278467,126.07803083272007,0.2810327706057597,22.006121799005573,48,ok,protection_leverage_scale,protection leverage scale,protection,2.0,302.12302509489405,0.95,95.7564966488294,3.3566054521753967,-4.067796610169482,-2.1078132618956036
etosha_placeholder_baseline,0.95,145.21547916952565,145.2576687649758,9846.038922421712,12000.0,0.0,89,0,86,3,0,0,0,57.0131277759657,128.592475819992,0.28798411122144985,25.875531861440955,48,ok,drone_response_speed_kmh,drone response speed,mobility,0.5,152.85839912581648,0.95,-0.9328109717868075,13.99259223232489,-1.6949152542372887,12.720685285762428
etosha_placeholder_baseline,0.95,145.21547916952565,145.32260900769276,8922.129078824488,12000.0,0.0,89,0,88,3,0,0,0,52.73807628040928,128.592475819992,0.28897715988083417,23.718818656638483,48,ok,drone_response_speed_kmh,drone response speed,mobility,0.75,152.85839912581648,0.95,-0.8885210740108114,3.2960188295147517,-1.3559322033898273,4.268478697402162
etosha_placeholder_baseline,0.95,145.21547916952565,146.6254066455929,8637.437512040076,12000.0,0.0,89,0,86,3,0,0,0,50.57911742767495,128.592475819992,0.2929493545183714,23.422666315277397,48,ok,drone_response_speed_kmh,drone response speed,mobility,1.0,152.85839912581648,0.95,0.0,0.0,0.0,0.0
etosha_placeholder_baseline,0.95,145.21547916952565,145.32260900769276,8444.219938941193,12000.0,0.0,89,0,86,3,0,0,0,48.95147467055082,128.592475819992,0.28897715988083417,23.39128679938544,48,ok,drone_response_speed_kmh,drone response speed,mobility,1.3333333333333333,152.85839912581648,0.95,-0.8885210740108114,-2.236977955898957,-1.3559322033898273,-3.2180133618415905
etosha_placeholder_baseline,0.95,145.21547916952565,145.26398234696083,8251.106734554545,12000.0,0.0,88,0,85,3,0,0,0,47.32476713474984,128.592475819992,0.2840119165839126,23.390919898438536,49,ok,drone_response_speed_kmh,drone response speed,mobility,2.0,152.85839912581648,0.95,-0.9285050454610237,-4.472747582219946,-3.050847457627116,-6.434177697107176
